date,discharge
2011-08-01,6.314656881000056
2011-08-02,6.399607422000057
2011-08-03,6.088122105000054
2011-08-04,5.889904176000052
2011-08-05,6.314656881000056
2011-08-06,8.91980680500008
2011-08-07,5.861587329000052
2011-08-08,7.022578056000063
2011-08-09,6.286340034000056
2011-08-10,6.201389493000056
2011-08-11,17.075058741000152
2011-08-12,18.547534785000167
2011-08-13,51.621612081000464
2011-08-14,19.651891818000177
2011-08-15,138.41274813600123
2011-08-16,121.64917471200108
2011-08-17,47.03428286700042
2011-08-18,38.879030931000344
2011-08-19,37.548139122000336
2011-08-20,80.70301395000072
2011-08-21,46.24141115100041
2011-08-22,37.831307592000336
2011-08-23,32.847542520000296
2011-08-24,29.95922412600027
2011-08-25,26.306350863000233
2011-08-26,25.485162300000226
2011-08-27,42.984973746000385
