,2day_kahu,solan,kahu,arki,kasauli,kandaghat,90day_kahu,4day_kahu
78,13.4,0.0,0.0,7.0,0.0,1.75,3.6344444444444446,5.85
79,16.6,0.0,15.8,7.325,13.5,0.0,9.165555555555557,5.550000000000001
80,0.0,0.0,0.0,0.0,1.0,0.0,10.148888888888887,7.5
81,54.7,0.0,54.7,2.0,0.0,0.0,3.2111111111111112,15.425
82,9.900000000000002,43.8,7.1,2.0,84.5,17.6,6.967222222222223,2.725
83,9.5,6.0,9.5,0.0,4.5,14.8,3.674444444444444,9.675000000000004
84,87.5,0.8,87.5,58.4,1.5,0.0,6.951111111111112,23.125
85,3.8000000000000016,0.0,2.8,0.0,0.0,0.0,6.905,1.7
86,3.0,14.0,2.4,0.0,51.0,8.0,5.192222222222222,6.225
87,22.5,0.0,0.6,0.0,0.0,1.4,5.165555555555556,5.625
88,11.9,1.4,11.5,8.2,17.0,9.8,2.591111111111111,25.1
89,4.6,2.6,0.0,0.0,0.0,0.0,1.36,1.15
90,7.0,50.2,2.5,0.0,4.0,24.2,3.707777777777778,7.575000000000004
91,8.5,6.4,0.0,2.6,4.0,0.0,3.182222222222222,3.6750000000000007
92,144.0,10.2,75.0,20.3,80.0,7.3,7.678888888888889,45.75
93,44.5,13.8,34.5,4.4,71.0,14.2,9.926666666666666,11.575
94,138.0,0.0,0.0,2.0,0.0,0.0,8.363333333333333,48.825
95,3.4000000000000004,3.0,3.2,0.0,21.0,9.0,1.8488888888888888,0.8500000000000001
96,3.0,0.0,0.0,0.0,0.0,4.4,5.233333333333333,0.95
97,37.7,1.4,0.0,0.0,7.0,2.0,5.923333333333334,10.175
98,24.8,0.0,24.8,85.0,15.5,31.325,2.4466666666666663,7.2
99,68.0,52.0,68.0,72.7,72.0,61.8,1.4755555555555555,17.7
100,19.7,35.7,19.7,0.2,15.5,0.0,5.662222222222223,4.925
101,3.7,10.8,2.0,34.6,20.5,0.0,7.172222222222223,0.925
102,32.4,24.2,32.4,10.4,18.5,2.2,7.20888888888889,8.325
103,18.5,4.7,18.5,4.2,6.0,4.8,2.0733333333333333,4.625
104,9.5,30.2,4.0,8.55,0.0,0.0,2.786666666666666,5.675000000000001
105,12.1,2.6,4.8,2.0,29.0,8.2,2.597777777777778,16.5
106,1.5,1.4,0.0,1.225,3.5,0.0,1.5766666666666669,0.55
107,0.6,3.2,0.6,0.0,0.5,2.4,1.76,0.15
108,0.0,0.0,0.0,0.0,10.2,0.0,7.451111111111111,8.350000000000001
109,12.0,6.1,12.0,5.0,6.0,0.0,1.6844444444444444,2.999999999999999
110,19.0,0.0,0.0,0.0,0.0,0.0,3.252222222222222,4.75
111,17.0,39.0,17.0,42.0,4.5,40.3,7.021666666666667,5.625
112,0.4,14.5,0.4,12.0,6.5,0.0,3.661111111111111,7.225
113,54.0,0.0,1.0,0.0,10.0,2.75,3.2,23.15
114,1.3,2.4,1.3,3.2,3.0,0.0,7.156666666666667,7.525
115,0.0,0.0,0.0,0.0,1.0,2.0,5.662222222222223,4.925
116,1.0,0.0,0.0,0.0,0.0,0.0,4.774444444444445,1.075
117,0.0,0.0,0.0,0.0,3.0,30.1,3.8466666666666662,0.925
118,2.5,1.8,2.5,0.0,1.0,0.0,8.44,0.75
119,2.0,0.0,1.0,0.0,9.0,1.4,3.982222222222222,4.0
120,2.6,14.3,2.2,0.0,16.5,0.0,3.6855555555555553,0.775
121,1.0,0.0,0.0,0.0,0.0,0.0,5.663333333333333,1.2
122,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,7.121111111111111,5.551115123125783e-17
123,49.8,1.2,20.0,6.925,6.5,0.0,9.106666666666667,12.95
