date,Kahu,Kandaghat,Kasauli,Solan,Arki
28-10-2010,0,0,0,0,0
29-10-2010,0,0,0,0,0
30-10-2010,0,0,0,0,0
31-10-2010,0,0,0,0,0
01-11-2010,0,0,0,0,0
02-11-2010,0,0,0,0,0
03-11-2010,0,0,0,0,0
04-11-2010,0,0,0,0,0
05-11-2010,0,0,0,0,0
06-11-2010,0,0,0,0,0
07-11-2010,0,0,0,0,0
08-11-2010,0,0,0,0,0
09-11-2010,0,0,0,0,0
10-11-2010,0,0,0,0,0
11-11-2010,0,0,0,0,0
12-11-2010,0,0,0,0,0
13-11-2010,0,0,0,0,0
14-11-2010,0,0,0,0,0
15-11-2010,0,0,0,0,0
16-11-2010,0,0,0,0,0
17-11-2010,0,0,0,0,0
18-11-2010,3.5,4,18,4.8,4
19-11-2010,3.8,9.3,4,17,7
20-11-2010,0,0,0,0,0
21-11-2010,0,0,0,0,0
22-11-2010,0,0,0,0,0
23-11-2010,0,0,0,0,0
24-11-2010,0,0,0,0,0
25-11-2010,0,0,0,0,0
26-11-2010,0,0,0,0,0
27-11-2010,0,0,0,0,0
28-11-2010,0,0,0,0,0
29-11-2010,0,0,0,0,0
30-11-2010,0,0,0,0,0
01-12-2010,0,0,0,0,0
02-12-2010,0,0,0,0,0
03-12-2010,0,0,0,0,0
04-12-2010,0,0,0,0,0
05-12-2010,0,0,0,0,0
06-12-2010,0,0,0,0,0
07-12-2010,0,0,0,0,0
08-12-2010,0,0,0,0,0
09-12-2010,0,0,0,0,0
10-12-2010,0,0,0,0,0
11-12-2010,0,0,0,0,0
12-12-2010,0,0,0,0,0
13-12-2010,0,0,0,0,0
14-12-2010,0,0,0,0,0
15-12-2010,0,0,0,0,0
16-12-2010,0,0,0,0,0
17-12-2010,0,0,0,0,0
18-12-2010,0,0,0,0,0
19-12-2010,0,0,0,0,0
20-12-2010,0,0,0,0,0
21-12-2010,0,0,0,0,0
22-12-2010,0,0,0,0,0
23-12-2010,0,0,0,0,0
24-12-2010,0,0,0,0,0
25-12-2010,0,0,0,0,0
26-12-2010,0,0,0,0,0
27-12-2010,0,0,0,0,0
28-12-2010,0,0,0,0,0
29-12-2010,0,0,0,0,0
30-12-2010,9.8,24.3,4,16.8,14
31-12-2010,73.4,80.3,53.7,50.4,45
01-01-2011,1,0,0,0,2
02-01-2011,0,0,0,0,0
03-01-2011,0,0,0,0,0
04-01-2011,0,0,0,0,0
05-01-2011,0,0,0,0,0
06-01-2011,0,0,0,0,0
07-01-2011,0,0,0,0,0
08-01-2011,0,0,0,0,0
09-01-2011,0,0,0,0,0
10-01-2011,0,0,0,0,0
11-01-2011,0,0,0,0,0
12-01-2011,0,0,0,0,0
13-01-2011,0,0,0,0,0
14-01-2011,0,0,0,2.8,0
15-01-2011,6.5,10,0,9.6,4
16-01-2011,6.2,0,0,10.8,4
17-01-2011,0,0,0,0,0
18-01-2011,0,0,0,0,0
19-01-2011,0,0,0,0,0
20-01-2011,0,0,0,0,0
21-01-2011,0,0,0,0,0
22-01-2011,0,0,0,0,0
23-01-2011,0,0,0,0,0
24-01-2011,0,0,0,0,0
25-01-2011,0,0,0,0,0
26-01-2011,0,0,0,0,0
27-01-2011,0,0,0,0,0
28-01-2011,0,0,0,0,0
29-01-2011,0,0,0,0,0
30-01-2011,0,0,0,0,0
31-01-2011,0,0,0,0,0
01-02-2011,0,0,0,0,0
02-02-2011,0,0,0,0,0
03-02-2011,0,0,0,0,0
04-02-2011,0,0,0,0,0
05-02-2011,0,0,0,0,0
06-02-2011,0,0,0,0,0
07-02-2011,3.2,5,0,2.6,0
08-02-2011,52.5,14.3,5,11.6,12
09-02-2011,0,0,0,0,0
10-02-2011,0,0,0,0,0
11-02-2011,0,0,0,0,0
12-02-2011,0,0,0,0,0
13-02-2011,3.8,0,0,0,0
14-02-2011,0.6,12.2,9.5,11.6,3
15-02-2011,4,14.4,10.5,10.6,15
16-02-2011,21,8.2,3.5,2.2,4
17-02-2011,2.4,8.4,8,11.8,4
18-02-2011,0,0,0,0,0
19-02-2011,0,0,0,0,0
20-02-2011,0,0,0,0,0
21-02-2011,0,0,0,0,0
22-02-2011,0,0,0,0,0
23-02-2011,0,0,0,0,0
24-02-2011,0,6.3,1.5,1.6,1
25-02-2011,0,8,0,0,0
26-02-2011,8,0,14.5,8.8,0
27-02-2011,0.8,0,0,0.5,0
28-02-2011,0,0,0,0,0
01-03-2011,0,0,0,0,0
02-03-2011,2.4,0,0,1,0
03-03-2011,1.8,9,2,6.4,5
04-03-2011,25.4,0,0,1.2,0
05-03-2011,0,0,0,0,0
06-03-2011,0,0,0,0,0
07-03-2011,0,0,0,0,0
08-03-2011,0,0,0,0,0
09-03-2011,0,0,0,0,0
10-03-2011,0,0,0,0,0
11-03-2011,0,0,11,1,2
12-03-2011,0,0,0,0,0
13-03-2011,0,0,0,0,0
14-03-2011,0,0,0,0,0
15-03-2011,0,0,0,0,0
16-03-2011,0,0,0,0,0
17-03-2011,0,0,0,0,0
18-03-2011,0,0,0,0,0
19-03-2011,0,0,0,0,0
20-03-2011,0,0,0,0,0
21-03-2011,0,0,0,0,0
22-03-2011,0,0,0,0,0
23-03-2011,0,0,0,0,0
24-03-2011,0,0,0,0,0
25-03-2011,0,0,0,0,0
26-03-2011,0,0,0,0,0
27-03-2011,0,0,0,0,0
28-03-2011,0,0,0,0,0
29-03-2011,0,0,0,0,0
30-03-2011,15,24.3,8.5,8.6,4
31-03-2011,0,0,0,0,0
01-04-2011,0,0,0,0,0
02-04-2011,0,0,0,0,0
03-04-2011,0.4,0,1.5,0,0
04-04-2011,0,0,0,0,0
05-04-2011,0,0,0,0,0
06-04-2011,0,0,0,0,0
07-04-2011,0,0,0,0,0
08-04-2011,0,0,0,0,0
09-04-2011,0,0,0,0,0
10-04-2011,0,0,0.5,0,0
11-04-2011,0.7,2,0.5,2.6,0
12-04-2011,0.7,0,0,0,0
13-04-2011,1.2,3.3,0,2.4,0
14-04-2011,0,0,0,18.2,4
15-04-2011,0,0,0,0,0
16-04-2011,0,0,0,0,0
17-04-2011,2.5,0,0,0,5
18-04-2011,13,3,2.5,6.9,4
19-04-2011,0,1,0,3.6,2
20-04-2011,0,0,0,0,0
21-04-2011,0,0,0,0,0
22-04-2011,0,0,0,0,0
23-04-2011,0,0,0,0,0
24-04-2011,0,0,0,0,0
25-04-2011,0,0,0,0,0
26-04-2011,0,0,0,0,0
27-04-2011,0,0,0,0,0
28-04-2011,0,0,0,0,0
29-04-2011,0,0,0,0,0
30-04-2011,0,0,0,0,0
01-05-2011,0,0,0,0,0
02-05-2011,0,1,0,2.8,0
03-05-2011,0,0,0,0,0
04-05-2011,0,0,0,0,0
05-05-2011,0,0,0,0,0
06-05-2011,0,1.3,0,1.2,0
07-05-2011,0,0,0,9.6,4
08-05-2011,0,0,0,0,0
09-05-2011,0,0,0,0,0
10-05-2011,1.8,0,0,0,0
11-05-2011,0,0,0,0,0
12-05-2011,0,0,0,0,0
13-05-2011,0.6,0,0,0,0
14-05-2011,0,0,0,0,0
15-05-2011,0,0,0,0,0
16-05-2011,0,0,0,0,0
17-05-2011,0,0,0,0,0
18-05-2011,0,0,0,2.5,0
19-05-2011,0,0,0,0,0
20-05-2011,0,0,0,0,0
21-05-2011,0.5,4,5,0,4
22-05-2011,0.3,0,1.5,5.8,0
23-05-2011,0,0,0,0,0
24-05-2011,0,0,0,0,0
25-05-2011,0,0,0,0,0
26-05-2011,18.3,0,17,3.8,5
27-05-2011,35,8.2,7,4,38
28-05-2011,2.6,0,1.5,0.6,2
29-05-2011,0,6.1,0,0,0
