,kahu,date,discharge,arki,3day_arki,kahu,3day_kahu,90day_kahu
63,0.0,2010-08-10,22.7667449880002,5.0,1.6666666666666667,0.0,0.0,8.038333333333334
64,0.0,2010-08-11,26.19308347500024,0.0,1.6666666666666667,0.0,0.0,8.038333333333334
65,14.4,2010-08-12,58.41765536100052,19.0,8.0,14.4,4.8,8.198333333333334
66,9.8,2010-08-13,50.149136037000446,0.0,6.333333333333333,9.8,8.066666666666668,8.307222222222222
67,0.5,2010-08-14,45.92992583400041,5.0,8.0,0.5,8.233333333333334,8.312777777777777
68,0.0,2010-08-15,40.32319012800036,1.0,2.0,0.0,3.4333333333333336,8.312777777777777
69,0.7,2010-08-16,30.83704638300028,1.0,2.333333333333333,0.7,0.3999999999999999,8.320555555555556
70,1.9,2010-08-17,30.75209584200028,0.0,0.6666666666666666,1.9,0.8666666666666666,8.252777777777778
71,0.8,2010-08-18,25.74001392300023,14.0,5.0,0.8,1.1333333333333333,8.261666666666667
72,1.6,2010-08-19,23.50298301000021,4.0,6.0,1.6,1.4333333333333336,8.279444444444444
73,0.0,2010-08-20,28.684966011000256,15.5,11.166666666666666,0.0,0.7999999999999999,8.279444444444444
74,1.0,2010-08-21,50.29072027200045,8.0,9.166666666666666,1.0,0.8666666666666667,8.290555555555555
75,6.6,2010-08-22,95.71094286000086,8.0,10.5,6.6,2.533333333333333,8.363888888888889
76,7.0,2010-08-23,63.23151935100056,10.0,8.666666666666666,7.0,4.866666666666666,8.441666666666666
77,0.5,2010-08-24,96.81529989300088,1.5,6.5,0.5,4.7,8.447222222222223
78,4.8,2010-08-25,52.21626586800047,4.2,5.233333333333333,4.8,4.1000000000000005,8.500555555555556
79,8.9,2010-08-26,43.43804329800039,0.0,1.9,8.9,4.733333333333333,8.599444444444446
80,0.0,2010-08-27,34.093483788000306,3.0,2.4,0.0,4.566666666666666,8.363888888888889
81,0.0,2010-08-28,27.467341590000245,0.0,1.0,0.0,2.9666666666666663,8.363888888888889
82,0.0,2010-08-29,21.29426894400019,0.0,1.0,0.0,0.0,8.363888888888889
83,0.5,2010-09-02,21.379219485000192,8.0,2.6666666666666665,0.5,0.1666666666666666,8.342777777777778
84,1.5,2010-09-03,24.918825360000223,5.0,4.333333333333333,1.5,0.6666666666666666,8.268333333333334
85,9.0,2010-09-04,26.73110356800024,11.0,8.0,9.0,3.6666666666666665,8.368333333333334
86,0.0,2010-09-05,26.41961825100024,0.0,5.333333333333333,0.0,3.5,8.368333333333334
87,10.0,2010-09-06,28.09031222400025,4.0,5.0,10.0,6.333333333333333,7.529444444444445
88,0.0,2010-09-07,28.826550246000256,0.0,1.3333333333333333,0.0,3.333333333333333,6.835000000000001
89,3.0,2010-09-08,32.904176214000294,2.0,2.0,3.0,4.333333333333333,6.8627777777777785
90,0.0,2010-09-09,27.297440508000243,0.0,0.6666666666666666,0.0,1.0,6.8627777777777785
91,1.0,2010-09-10,23.53129985700021,0.0,0.6666666666666666,1.0,1.3333333333333333,6.87388888888889
92,2.8,2010-09-11,44.8538856480004,0.0,0.0,2.8,1.2666666666666666,6.905
93,7.1,2010-09-12,37.18002011100033,2.0,0.6666666666666666,7.1,3.633333333333333,6.967222222222223
94,3.6,2010-09-13,48.11032305300043,7.0,3.0,3.6,4.5,6.999444444444445
