date,2day_kahu,discharge,solan,kahu,arki,kasauli,kandaghat,90day_kahu,2day_max_kahu,4day_kahu,3day_kahu,3day_kasauli,3day_kandaghat,3day_arki,3day_solan
2013-06-08,0.0,0.453,1.0,0.0,0.0,0.0,3.4,0.8666666666666667,0.0,0.0,0.0,2.0,6.199999999999999,0.0,1.2666666666666677
2013-06-09,0.0,0.368,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,2.0,6.199999999999999,0.0,1.2666666666666677
2013-06-10,0.0,0.368,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,1.1333333333333333,0.0,0.33333333333333454
2013-06-11,0.0,0.368,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.1842378929335002e-15
2013-06-12,2.8,1.881777778,29.4,2.8,70.4,8.5,36.0,0.8033333333333333,2.8,0.7,0.9333333333333332,2.8333333333333335,12.0,23.46666666666667,9.8
2013-06-13,2.8,2.463777778,0.0,0.0,0.0,0.0,0.0,0.72,2.8,0.7,0.9333333333333332,2.8333333333333335,12.0,23.46666666666667,9.8
2013-06-14,68.0,21.92611111,52.0,68.0,72.7,72.0,61.8,1.4755555555555557,68.0,17.7,23.599999999999998,26.833333333333332,32.6,47.70000000000001,27.133333333333336
2013-06-15,115.0,64.46244444,11.0,47.0,80.5,26.5,38.2,1.9977777777777779,68.0,29.45,38.333333333333336,32.833333333333336,33.333333333333336,51.06666666666666,21.000000000000004
2013-06-16,88.5,24.53288889,39.8,41.5,43.75,75.5,18.2,2.458888888888889,47.0,39.125,52.166666666666664,58.0,39.4,65.64999999999999,34.26666666666667
2013-06-17,41.9,11.27155556,23.2,0.4,60.4,42.5,9.2,2.4633333333333334,41.5,39.225,29.633333333333336,48.166666666666664,21.866666666666664,61.550000000000004,24.666666666666668
2013-06-18,11.9,9.232333333,1.4,11.5,8.2,17.0,9.8,2.591111111111111,11.5,25.1,17.8,45.0,12.4,37.449999999999996,21.46666666666667
2013-06-19,11.5,8.807444444,0.0,0.0,0.0,0.0,0.0,2.591111111111111,11.5,13.35,3.966666666666667,19.833333333333332,6.333333333333333,22.866666666666664,8.200000000000001
2013-06-20,0.0,4.886888889,0.0,0.0,0.0,0.0,0.0,2.591111111111111,0.0,2.975,3.8333333333333335,5.666666666666667,3.266666666666667,2.733333333333333,0.466666666666669
2013-06-21,0.0,4.147111111,0.0,0.0,0.0,0.0,0.0,2.591111111111111,0.0,2.875,0.0,0.0,0.0,0.0,2.3684757858670005e-15
2013-06-22,0.0,3.852,0.0,0.0,0.0,0.0,0.0,2.3944444444444444,0.0,0.0,0.0,0.0,0.0,0.0,2.3684757858670005e-15
2013-06-23,0.0,3.682,0.0,0.0,0.0,0.0,0.0,2.2888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,2.3684757858670005e-15
2013-06-24,0.5,3.455,3.4,0.5,10.1,0.0,6.4,2.2944444444444443,0.5,0.125,0.16666666666666666,0.0,2.1333333333333333,3.3666666666666667,1.1333333333333357
2013-06-25,0.5,3.455,0.0,0.0,21.8,0.0,4.0,2.2944444444444443,0.5,0.125,0.16666666666666666,0.0,3.466666666666667,10.633333333333333,1.1333333333333357
2013-06-26,17.5,79.83733333,19.4,17.5,47.6,12.5,52.2,2.488888888888889,17.5,4.5,6.0,4.166666666666667,20.866666666666667,26.5,7.600000000000001
2013-06-27,23.0,30.68011111,7.3,5.5,30.2,3.5,2.6,2.55,17.5,5.875,7.666666666666667,5.333333333333333,19.6,33.2,8.900000000000002
2013-06-28,44.5,46.59877778,43.2,39.0,16.4,53.5,85.5,2.9833333333333334,39.0,15.5,20.666666666666668,23.166666666666668,46.76666666666667,31.400000000000006,23.3
2013-06-29,39.0,16.794,3.0,0.0,4.2,0.0,1.8,2.9833333333333334,39.0,15.5,14.833333333333334,19.0,29.96666666666667,16.933333333333334,17.833333333333336
2013-06-30,5.2,16.624,1.8,5.2,0.0,0.0,3.8,3.041111111111111,5.2,12.425,14.733333333333334,17.833333333333332,30.36666666666667,6.866666666666668,16.000000000000004
2013-07-01,5.2,12.461,0.0,0.0,0.0,0.0,0.0,3.041111111111111,5.2,11.05,1.7333333333333334,0.0,1.8666666666666714,1.4000000000000024,1.6000000000000023
2013-07-02,0.0,9.147,0.0,0.0,0.0,0.0,0.0,3.041111111111111,0.0,1.3,1.7333333333333334,0.0,1.2666666666666713,2.3684757858670005e-15,0.6000000000000024
2013-07-03,19.0,21.77488889,27.6,19.0,53.2,22.5,0.0,3.252222222222222,19.0,6.05,6.333333333333333,7.5,4.736951571734001e-15,17.733333333333338,9.200000000000003
